"National Pokédex
number",English,Notes
163,Hoothoot,"No matter what time it is, Hoothoot will always well... hoot, at the same time every day because it has an internal organ that can sense the Earth's rotation. Despite its appearance, Hoothoots have two legs. They just switch out which legs they stand on faster than the eye can process it."
164,Noctowl,"It will never fail to catch its prey at night due to its soft and quiet wings, and its impeccable night vision. Ash catches a shiny Noctowl in the anime. Noctowls naturally learn Psychic-type moves even though Noctowls are not."
165,Ledyba,It communicates to other Ledyba by secreting fluids where its legs meet its body. It changes its scent based on how it is feeling. Ledyba are naturally timid creatures that panic when separated from their swarm.
166,Ledian,"In tales, it is said that where the air is clean and the stars are bright, countless Ledian flock. That's because Ledian uses starlight as energy. It is based on ladybugs."
167,Spinarak,Its web could almost be like its second nervous system. It is said that it can tell what kind of prey has been trapped based on the tiny vibrations on the strands. Its based on real life spiders.
168,Ariados,"If it sprays its webs on you, you can pull it off, although an invisible strand of webbing will still be attached to you so it can still find you. It can also scale walls because it has tiny hooks on its feet."
169,Crobat,"The final evolution of Zubat and Golbat, Crobat can fly a very long distance for a while. It usually flies with all 4 wings. But if it gets tired, it likes to alternate what pairs of wings it flies with. Golbat evolves into Crobat when it has high enough Friendship levels."
170,Chinchou,"Chinchou and Lanturn are based on the Footballfish.[15] Chinchou combines its positive and negative energy to attack prey. It also communicates to others by flashing its lights at them. Laturn is called ""The Deep Sea Star"" because of its antenna. It can illuminate its light by causing chemical reactions between bacteria and its body fluids. It is based on anglerfish."
171,Lanturn,
172,Pichu,"Playable character in Super Smash Bros. Melee and Super Smash Bros. Ultimate. Junichi Masuda noted that Pichu was intended to become the ""next"" Pikachu. Pichu has become Masuda's favorite Pokémon because of the ""well thought out"" design process that went into creating it.[17][18][19] It is voiced by Satomi Kōrogi. It doesn't know how to control its electricity yet so it gets startled and hurt from using it and usually cries. Although, it can charge up electricity on days with thunder clouds and dry air. It touches tails with others as a test of courage. In the anime, a pair of Pichus are known as the Pichu Bros, and have appeared in their own shorts."
173,Cleffa,"On nights with many shooting stars, Cleffa can be found dancing through the night. It will dance until daybreak where it sips on the morning dew. Evolves into Clefairy at high enough friendship levels."
174,Igglybuff,"Its vocal cords are not fully developed yet and so it hurts to use them. It can gargle fresh water from a stream to replenish them. Its body is very bouncy, so if it bounces, there's no stopping it. In the English-dubbed anime, it was voiced by Rachael Lillis, who also voiced Jigglypuff and Wigglytuff. It evolves into Jigglypuff at high enough friendship levels."
175,Togepi,"If you can get a sleeping Togepi to stand up, you'll gain happiness from its shell. Togepi was one of the first Generation II Pokémon ever introduced and the most famous Togepi is the one owned by Misty in the anime. Togepi energizes off of positive feelings like compassion and pleasure from people, and stores them in its hard shell, then it will release them to others that need it. Tegepi was one of the first Johto Pokémon to appear in Kanto, as an egg found by Ash and friends. When it hatched, it bonded to Misty. Throughout the series, it has helped the group in sticky situations using Metronome."
176,Togetic,"Even though it has wings, it doesn't really need to use them due to it being able to hover and glide. It is said that Togetic is a kind of Pokémon that brings good fortune. When it sees a person with a pure heart, it will come by and share its happiness with them. It evolves into Togekiss when exposed to a Shiny Stone."
177,Natu,"A Pokémon resembling a Hummingbird. It will stare into your eyes as if it is in a staring contest, but the instant you show even the slightest movement, Natu will then hop to safety. It can't fly due to its wings being underdeveloped. It appears as a small green bird."
178,Xatu,"A Pokémon resembling a Trogon, it will stand in one spot all day. Some say it is terrified of the horrible visions it sees with its left eye viewing the past and its right eye seeing the future. It appears as a totem pole from a distance."
179,Mareep,"Mareep's fluffy coat of wool rubs together and builds a static charge. The more static electricity charged, the more brightly the light bulb at the tip of its tail glows. It appears as a sheep with a blueish body, covered in yellow wool, with a yellow power orb on its tail."
180,Flaaffy,"Flaaffy's wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity. The wool on Flaafy has reduced in amount, and it tends to stand on two legs."
181,Ampharos,"Ampharos light is so bright that it can be seen from space. Back in the day, People used to use it to send signals back and forth from far away. The wool has completely disappeared. It looks sort of like a dinosaur with yellow skin and black rings, with red jewels on its head and tail."
182,Bellossom,"When the Sun shines brightly, Bellossom will open its bright colored petals to spin and dance. When the Sun goes away, so does the Bellossom. Bellossom evolves from Gloom using the Sun Stone. Bellossoms can be male or female."
183,Marill,"GameSpot's Frank Provo and Kotaku's Patricia Hernandez have described Marill as ""cute"".[26][27] If you see a small, blue ball in the water, that's Marill's oil-filled tail acting as a life saver so that it can catch and eat aquatic plants. Marill appears as a sea blue mouse that is round like a ball with a zig-zag tail ending in a blue orb. The blue orb at the end of its tail can light up."
184,Azumarill,"Its ears are wonderful sensors. Even in roaring waters, it can focus its hearing to figure out what kind of prey is around."
185,Sudowoodo,"When attacked, Sudowoodo will go into the forest and stand still as if to resemble a tree. Though in the winter, it is easily seen because of the green parts on its body. Despite being a Rock-type, it looks like a tree. In Gold and Silver, it blocks a path north. To get past it, the player needs the water pale."
186,Politoed,"Its curled hair is proof that it is a king. The longer the curl, the more respect it gains. Evolves from Poliwhirl when traded holding a King's Rock. Unlike Poliwrath and the previous evolutions, it actually looks like a frog or a toad."
187,Hoppip,"It likes to drift through the wind. If it knows a big wind will pass, it will link its leaves with other Hoppip and prepare to not be blown away. Hoppips are very light weight, pink Pokémon with green leaves sprouting out of their heads."
188,Skiploom,"It is sometimes used as a thermometer because its flower blossoms over 64 °F. How much it blossoms depends on the tempature. The body is green, and the flower is yellow. It still drifts through the air with the wind."
189,Jumpluff,"Even in the harshest of winds, Jumpluff can control where it will go. It seeks out warm southern winds as it drifts through the air. If it senses cold air, it drifts to the ground. The fluffy seed balls on its head drop seeds and spores."
190,Aipom,"It uses its tail hand more than its real ones, so its real hands are less useful. It appears as a purple monkey with a hand on its tail."
191,Sunkern,"Sunkern formerly had the lowest total stats of any Pokémon.[28] However, solo form Wishiwashi[29] (introduced in Sun & Moon) currently has the lowest total stats of any Pokémon. It tries not to move because it is storing nutrients for evolution. The only thing it will eat is the morning dew. Evolves into Sunflora when exposed to a Sun Stone."
192,Sunflora,"It moves in the daytime to convert solar energy into nutrients. It stops moving when night arrives. It appears as a sentient sunflower with a green body, feet, and leaves for arms."
193,Yanma,Yanma can see 360° without moving its eyes. It is great at making sudden stops and turns and it uses this to chase down prey. It appears as a reddish-brown dragonfly.
194,Wooper,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film. Woopers appear as a blue, armless creature with two antenne/feelers on the side of their heads, and have two feet and a tail."
195,Quagsire,"If Quagsire gets hurt in any way, it won't feel a thing because its intelligence isn't the best. To hunt, it will just sit there in the water for food to just wander in unaware. It doesn't move much so it doesn't get hungry as often. It has a similar appearance to Wooper, except it has a more normal looking body, with arms and feet, and a tail."
196,Espeon,"Espeon shares its category name with Sunflora and Volcarona. They are all known as the Sun Pokémon. Espeon is an Eeveelution that can sense where a foe is at by the wind direction with its fine, thin hairs on its body. When attacking, the red orb on its forehead glows if it is using its psychic powers. If it trusts a Trainer very closely, it will become extremely loyal to them. It is said that it developed psychic powers to keep its Trainer from dangerous harm. It is the Psychic evolution of Eevee, evolving when its friendship is high enough during the daytime."
197,Umbreon,"Originally, Umbreon was a Poison-type Pokémon before they made it a Dark-type. Before the next generation of Pokémon was released, Umbreon was the only pure Dark-type Pokémon, making it the only Eeveelution that ever had a unique type combination. It evolved due to exposure of the moon's rays. The rings on its body will glow when hunting and make anyone watching have chills down their spines. It is the Dark-type evolution of Eevee, evolving at night at high friendship levels. It has poisonous sweat."
198,Murkrow,"Murkrow love to steal shiny, glittering objects, usually stealing them from women. It is the reason why they're considered bad luck to see. It will hunt, fight, and bring food for its boss, Honchkrow. Based on crows and ravens."
199,Slowking,"Shellder's poison going through Slowking's head makes it very smart, it researches the mysteries of life every day, however nobody knows what its saying. If, somehow, Shellder were to detach from its head, not only would it de-evolve back into a Slowpoke, but it would forget everything it learned when it was a Slowking. Its Galarian form is a Poison/Psychic Type. It evolved from Slowpoke after being traded while holding a King's Rock."
200,Misdreavus,It creeps people out with a sobbing cry. It turns frightening emotions into energy. It appears as a shadow like creature with a more feminine appearance.
201,Unown,"Unown has 28 different forms: 26 representing each letter in the Latin alphabet, one for a question mark, and one for an exclamation mark. One alone can't do much, but when a lot come together, strange things are said to happen. Research is going on about which came first, the Unown, or the mysterious, ancient writing. However, nothing much is known about it. Unowns are legendary Pokémon."
202,Wobbuffet,"When you see a Wobbuffet, the blue body isn't actually its real body. The black tail that it likes to keep hidden may be the actual body. The most famous Wobbuffet is Team Rocket's Wobbuffet in the anime, who serves as comedy relief. If 2 Wobbufeet meet, it will try to outdo the others endurance in various ways. One habit trainers have to watch out for is who can go the longest without food."
203,Girafarig,"A giraffe-like Pokémon. The head on its rear end also has a brain, though it is quite small. It will react to smells and sounds and will lash out and bite. Coming up from behind it is never a good idea. Its original design was more akin to a Pushmi-pullyu."
204,Pineco,"It attaches its head to the branch of a tree. If something like the wind knocks it off while eating, it will explode, so be careful. It appears as a pinecone like Pokémon."
205,Forretress,"It conceals itself in its steel hard hell. To eat its prey, the shell is opened. But it is so quick in doing this, the inside of its shell cannot be seen. It appears as a red creature inside a two part rock shell, with red cannon like protutions."
206,Dunsparce,Design inspired by the mythical Japanese creature Tsuchinoko[34] It has a drill for a tail. It likes to burrow backwards deep into the ground to create a nest with very complex shapes.
207,Gligar,Gligar glides through the air as if sliding. It will latch on the enemy's face with its hind legs and wings to inject them with its poisonous tail. It appears as a fiendish looking bat creature.
208,Steelix,"Under immense pressure underground, an Onix is said to have its rock-like body compressed into diamonds and evolve into Steelix. In a paper published by the University of Leicester, physicists calculated the plausibility of Onix evolving into Steelix through the stated lore. It would require pressures of 4.5–6 gigapascals at a temperature of 900 to 1,300 °C (1,650 to 2,370 °F) over a period of billions of years for this conversion to take place. Assuming these conditions, the resulting Steelix would be substantially smaller than given in the Pokédex entry and is considered implausible.[35] It lives even further down than Onix toward the earth's core. There are records of it reaching over 6/10 of a mile down underground. Steelix evolves after being traded while holding a Metal Coat."
209,Snubbull,"When it bares its small fangs at smaller Pokémon, they tend to be frightened and run away from Snubbull. While people think it is adorable when it does that, Snubbull tends to feel a little sad because of it."
210,Granbull,"Was originally Normal, but was made Fairy from Generation VI onwards. Because its jaws are really heavy, it has to tilt its head back a little to balance itself. It will try not to bite you unless it is startled. It is based on pitbull dogs."
211,Qwilfish,"By sucking in water, Qwilfish can use the pressure to fire its toxic quills all around itself. It has a hard time swimming, too. Qwilfish is based on Porcupine fishes.[15]"
212,Scizor,"Scizor's body is as hard as steel. It is not bothered by light attacks. It uses its wings to fly and to cool down. It appears like a red, sleeker version of Scyther, except its arms are now clamps instead of blades. Scizor plays a role in the Pokémon 4 Ever movie as one of the Iron Masked Maurader's corrupted Pokémon, along with Tyranitar."
213,Shuckle,It hides in the crevices of rocks. It mixes berry juices with its own to make a combining juice that is apparently healthier for you. It appears as a red rock with a yellow body hidden inside of it.
214,Heracross,"When it needs to move anything in its way, it uses its large horn it has to launch it through the air and it can easily throw an adult human with its horn. The Heracross with the largest horn is the leader. It is based on the various rhino beetle species. Heracross is known to be very attracted to honey sources."
215,Sneasel,Design inspired by the mythical Japanese creature Kamaitachi[34] It appears as a black cat like creature with white claws and red feather like appendages. It like to climb trees with its claws to steal bird eggs.
216,Teddiursa,The reason why you see its paw near its mouth is because it likes to soak its paws in honey made by bees. It can make its own honey by combining Beedrill's pollen and fruits. It appears as a small teddy bear like Pokémon.
217,Ursaring,"Instead of living off eating honey like Teddiursa did, it actually goes out to find berries and food for itself. If anyone dares to go into its territory, it will chase them out at all costs. It appears a large grizzly or brown bear like Pokémon. Its name is based on the Ursa constellation, and the typical scientific name for bears."
218,Slugma,"Lava circulates inside of it instead of blood. When cooled, its body will turn brittle and will break off, making it smaller. It appears as a slug made out of lava."
219,Magcargo,"Its shell is actually cooled skin. However, it is very fragile and will break off just by touching it. But it can always dip itself in lava to go back to its regular size. It looks like a lava snail."
220,Swinub,It digs through the snow to find roots and stuff it can eat. Its long fur helps shield it from the cold.
221,Piloswine,Its long hair enables it to endure the cold. It uses its tusks to dig through ice to find food.
222,Corsola,"Mareanie (introduced in Sun & Moon) loves to eat Corsola's coral branches as a snack and it actively chases them down just for their branches. Its Galarian form is a Ghost Type. The Galarian form, being Ghost-type with a white coloration, is speculated to be a reference to coral bleaching, which is an environmental issue that marks the death of corals which has been caused by global warming."
223,Remoraid,Remoraid are based on remora.[15] They tend to stick with Mantine to feed off the scraps that are left behind. Based on the remora suckerfish that likes to attach itself to various larger fish. Remoraid can spit water as an attack.
224,Octillery,"When hunting, it will grab its prey and bash its head in with its very hard skull. If it is too strong for it, it spews ink to get away. As its name suggests, it is based on an octopus and an artillery gun."
225,Delibird,It uses its tail as a bag to carry items to its Trainer. It can turn those items into tiny bombs to throw at enemies. Its earliest design looked more like Santa Claus. Stories tell of a person that climbed the highest mountain with the help of a Delibird.
226,Mantine,Mantine are based on the giant oceanic manta ray.[15] It evolve from Mantyke when a Remoraid is in the party.
227,Skarmory,"A Steel-Type bird-like Pokémon based on the Stymphalian Birds. After nesting in bramble bushes, the wings of its chicks grow hard from scratches by thorns. As the feathers fall off, people used them as swords in older times."
228,Houndour,It is based on Doberman and Rotweiler dogs. Houndours have a reputation for being aggressive and relentless in its hunts.
229,Houndoom,"If Houndoom uses its fiery breath on you, the flames and ash might go away but you'll feel the burn forever. It appears similarly to Houndour, except now it has more of a demonic appearance with two curved horns on its head and a spade tail."
230,Kingdra,Evolves by trading it while holding a Dragon Scale. Kingdra are based on the common seadragon.[15] It lives deep down in uninhabited ocean depths. It is believed that Kingdra can create spiraling currents just by yawning. It is also part Dragon-type due to it being traded with a dragon scale.
231,Phanpy,It digs a vertical nest in the ground. It uses its trunk to mark its territory. It is based on the elephant.
232,Donphan,It likes to use its armored trunk to roll around and slam into its foes. It can also lift things twice its own weight. It appears as a mix between an elephant and a tire.
233,Porygon2,"For the purposes of planetary development, Porygon was updated with the most up-to-date technology available. It evolves by holding an Up-grade. It never made any appearances in the anime after the events of ""Denno Senshi Porygon"", with the exception of a very brief cameo in the intro scene of the fifteenth movie, Kyurem vs. the Sword of Justice. It is the only Pokémon with a number in its name and one of only 2 Pokémon (outside of Generation VIII) that never appeared in the anime, the other being Porygon-Z."
234,Stantler,People used to hunt it almost to extinction because of its magnificent antlers. Stantlers are based on various deer species. It is said that staring at their antlers causes fear and weird feelings.
235,Smeargle,"The only Pokémon capable of learning the move Sketch. Due to this quality Smeargle can learn any move available in the games except Struggle and Chatter. It loves to paint with its tail and the ink it uses to paint with is its own juice it creates. It is identified by its tail, which has a green ink like fluid on it."
236,Tyrogue,"Tyrogue needs to have special training to become the best and different methods can be utilized to help it train. If Tyrogue doesn't get the proper training it needs, it will get stressed out. It evolves into Hitmonlee at high Attack stats, Hitmonchan with high Defense stats, and Hitmontop with equal Attack and Defense stats."
237,Hitmontop,Its mix of offense and defense make it a good fighter. It travels faster spinning than walking.
238,Smoochum,"It likes to run a lot and it often falls down. When it does, it will go to a shiny surface to see and check if its face has gotten smudges on it. It evolves into Jynx."
239,Elekid,"It twirls its arms around to get itself charged up or it can use outlets as baby bottles. If it gets upset, play some rolling thunder to cheer it up."
240,Magby,"Its body temp is so hot, if it falls into a small enough pond, all of the water in it will evaporate."
241,Miltank,"If it is around babies, the milk it produces has more nutrition than normal. The Gym leader Whitney has a Miltank that people find annoying due to it knowing rollout."
242,Blissey,"If it senses sadness and despair with the fur on its body, it will rush over to whoever it is and give them a Lucky Egg which can make anyone happy."
243,Raikou,"Raikou was designed by Muneo Saitō.[39] Also known as the ""Embodiment of Lightning"", it can run across plains at the speed of lightning. Ho-Oh resurrected it after it perished as a helpless unknown animal in a burning tower. Some say it is an electric type because it symbolizes the lightning that struck the tower."
244,Entei,"Entei was designed by Muneo Saitō.[39] Legend says that every time an Entei barks or roars, a volcano is said to erupt somewhere around the world. Ho-Oh resurrected it after it perished as a helpless unknown animal in a burning tower. Some say it is a fire type because it symbolizes the fire that burnt down the building."
245,Suicune,Suicune was designed by Muneo Saitō.[39] Suicune has the magical ability to instantly purify even the murkiest of waters. Ho-Oh resurrected it after it perished as a helpless unknown animal in a burning tower. Some say it is a water type because it symbolizes the rain that put out the fire in the building.
246,Larvitar,"It is born deep underground and it has to eat through the soil to get to see its parents. Soon after, it gets to evolve."
247,Pupitar,"While its shell is as hard as sheet rock, it is surprisingly active. If it thrashes around, it can topple mountains, and by releasing pressurized gas it built up, it can launch its self like a rocket."
248,Tyranitar,It rivals Duraludon for mountain soil to eat. It is thought to have been inspired by ‘’Godzilla’’.
249,Lugia,"It lives in the deep sea, and the reason it does this is because it can cause storms just by flapping its huge wings. Master of the Legendary Birds."
250,Ho-Oh,"Similar to Moltres, Ho-Oh's design is inspired by the Fenghuang (firebird) of Chinese myth.[34] The master of the Legendary Beasts and the one who resurrected them. Ho-Oh has the distinction of being the first Gen II Pokémon ever seen, debuting in the very first episode of the Pokémon anime long before the revelation of Johto."
251,Celebi,Celebi has the power to travel through time. When Celebi leaves not only does the land flourish around it but it also brings back an egg it found from the future.
252,Treecko,Treecko has claws at the bottom of its feet so it can scale walls and ceilings.
253,Grovyle,
254,Sceptile,A playable character in Pokkén Tournament and its counterpart. It is based on the Dilophosaurus.
255,Torchic,"It can scorch foes black with its fireballs it produces in its stomach. Its English name is a portmanteau of ""torch"" and ""chick"", as the latter alludes that Torchic is based on a baby chicken. During the promotion of Pokémon Ruby and Sapphire in America, a special Game Boy Advance with a Torchic theme was released specifically at the New York Pokemon Center back in 2003.[7]"
256,Combusken,It can produce about 100 kicks a second.
257,Blaziken,"It can leap high in the air and deliver amazing fiery kicks.Blaziken has received generally positive reception. IGN readers ranked Blaziken the 50th best Pokémon ever.[8] Game Informer ranked it the 36th best Pokémon.[9] In a poll by Official Nintendo Magazine's Tom East, Blaziken was voted as the third-best Fire-type Pokémon. They stated ""A kung fu chicken? What's not to like?"". In a poll of the best Pokémon from Ruby and Sapphire in celebration of the games having 10 years under their belt, Blaziken was ranked in third place.[10] Another poll of the best Pokémon introduced in Ruby, Sapphire, and Emerald placed Blaziken third.[11] GamesRadar used Blaziken as an example of a human shaped Pokémon done right.[12] The Escapist's John Funk wrote that Blaziken was an ""awesome"" example of a Pokémon that players who refused to play past Red and Blue were missing out on.[13] Game Informer's Jeff Marchiafava felt that Blaziken was less cool than other Fire-type Pokémon and stated that it has a 1970s ""vibe"". While he felt that the Mega Evolution was an improvement, he called it a ""Mega Disappointment.""[14] Kotaku's Eric Jou also felt that it had a weak design and cited it as an example of Ruby and Sapphire's weak Pokémon designs.[15] Several critics and websites have noted that Blaziken would be a good choice for a playable character in Super Smash Bros..[16][17][18]"
258,Mudkip,"The fin on its head acts as a radar for its surroundings. Even in muddy water, Mudkip can sense where it's going. Videos, images and copypastas involving Mudkip began surfacing in 2005, and by 2007 the Pokémon, along with variations of the misspelled phrase ""so i herd u liek mudkipz"", have become internet memes,[19][20] receiving many tribute videos on YouTube.[21][22]"
259,Marshtomp,
260,Swampert,
261,Poochyena,"Based on the hyena, It is the first Generation III Pokémon to be a pure Dark type and the second after Umbreon."
262,Mightyena,"In the wild, Mightyena live in a pack. They never defy their leader's orders. They defeat foes with perfectly coordinated teamwork."
263,Zigzagoon,"It is interested in everything, curiously wandering in a zigzag pattern. Its Galarian form is a Dark type on top of its Normal type."
264,Linoone,It has trouble with gently curving turns since it goes in straight lines. Its Galarian form is a Dark type on top of its Normal type.
265,Wurmple,It likes the bark off of trees it gets with its 2 stingers.
266,Silcoon,It anchors itself to tree branches using silk and awaits for its own evolution.
267,Beautifly,Just put a potted flower outside and you'll see a Beautifly since its favorite food is nectar.
268,Cascoon,
269,Dustox,It is attracted to light. It can also strip forests clean.
270,Lotad,
271,Lombre,
272,Ludicolo,"In Pokémon Colosseum and Pokémon XD: Gale of Darkness, multiple Ludicolo are used on the team of the main antagonist, Miror B."
273,Seedot,"The more it drinks, the more gloss it has."
274,Nuzleaf,
275,Shiftry,Design inspired by the Japanese mythological creature Tengu.[29]
276,Taillow,
277,Swellow,
278,Wingull,
279,Pelipper,Its design resembles a Pelican.
280,Ralts,"It uses its horns to sense someone's emotions. When it feels threatened, it will hide and will not come out until the feeling dissipates."
281,Kirlia,"The happier its Trainer feels, the happier and stronger it is. It will also dance at sunrises."
282,Gardevoir,"If its Trainer is in danger, it will creates small black holes to protect them or when all else fails, it will even sacrifice itself for the sake of its Trainer."
283,Surskit,
284,Masquerain,"To scare off predators or intimidate its foes, it will show off its wings which look like massive eyeballs."
285,Shroomish,
286,Breloom,"When it fights, its hands will stretch to massive lengths for maximum punch power."
287,Slakoth,"It moves so little, its diet consists of only 3 leaves a day."
288,Vigoroth,"After it evolves, it can't sit still anymore, it has to move somehow or else it will get very stressed and attack."
289,Slaking,"Slaking has the highest base stat total of all Pokémon aside from Legendary Pokémon, Mythical Pokémon, and Mega Evolutions."
290,Nincada,
291,Ninjask,
292,Shedinja,"When a Nincada evolves into a Ninjask and there is an extra space in the player's party, a Shedinja is created from the Nincada's shed exoskeleton.[35] People say if you look in the hole in the back of its body, your soul will be stolen. In the games, Shedinja is notable for its unique trait of having only 1 HP and for blocking all attacks except ""super effective"" ones with its ability Wonder Guard."
293,Whismur,"If it's safe you can barely hear it, even if you listen closely. If it's in danger, it will yell at an ear-splitting volume."
294,Loudred,
295,Exploud,
296,Makuhita,"Even if it gets knocked down, the power used for it to get back up is stored to use for its evolution."
297,Hariyama,
298,Azurill,
299,Nosepass,"No matter what, two Nosepasses cannot face each other due to the fact their magnetic noses will always face north. A great Pokémon for campers. It is based on the Moai statues from Easter Island and compasses."
300,Skitty,"Skitty will chase and play with any thing that moves, so it chases its tail a lot."
301,Delcatty,
302,Sableye,"Designed inspired by the Hopkinsville goblin, an alien-like creature reported to be seen in Kentucky in the 1950s.[29][35] It loves to eat gems, most of the gems are stolen by Carbink."
303,Mawile,"Design inspired by the Japanese yōkai Futakuchi-onna, a woman said to have a second mouth on the back of her head in a cautionary tale about extreme dieting.[29] Its ""second mouth"" on the back of its head is actually two steel horns fused together. It will lure foes or prey in with its docile looking face, then use its massive jaws to bite and eat them."
304,Aron,Arons love to eat metal as their diet consists of it. Sometimes it will eat railroad tracks and cause massive chaos.
305,Lairon,
306,Aggron,"Its design and lore is based on the Bulgasari, a monster from Korean folklore that eats iron."
307,Meditite,
308,Medicham,
309,Electrike,
310,Manectric,"Design inspired by the mythological Japanese creature Raijū, a being composed purely of lightning said to take on many quadrupedal forms.[29]"
311,Plusle,It will cheer with sparks made from its body.
312,Minun,"If things aren't going well, Minun will create a spark shower to help cheer on its teammates."
313,Volbeat,
314,Illumise,
315,Roselia,"If anyone tries to steal the flowers on its arms, they'll be met with a bunch of thorns on its arms."
316,Gulpin,"Most of its body consists of its powerful stomach, whose acid can dissolve anything."
317,Swalot,"When Swalot spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this Pokémon gulps it down whole with its cavernous mouth."
318,Carvanha,Carvanha are based on the red piranha.[42] It can effortlessly rip holes in boats with one bite.
319,Sharpedo,"Sharpedo are based on sharks.[42] Nicknamed the ""brutal Pokemon of the seas"", Sharpedo will chase after ships and bite huge holes in them."
320,Wailmer,
321,Wailord,"Based on the blue whale, It is among the largest of all Pokémon. It herds prey in a pack then swallows the massed prey in one gulp."
322,Numel,"Numel is not smart. Although it can't feel much pain, it can't stand hunger for a second."
323,Camerupt,
324,Torkoal,
325,Spoink,"The reason it keeps bouncing on its tail is because it keeps its heart going. If it stops, it dies."
326,Grumpig,
327,Spinda,"Because of randomly-generated spot patterns, there can exist 4,294,967,296 different variations of Spinda in the games. Junichi Masuda has noted that much planning and discussion had to be done to make this feasible in game and because of this, Spinda has become a favorite Pokémon of his.[45]"
328,Trapinch,
329,Vibrava,
330,Flygon,"A Mega Evolution of Flygon was planned for Pokémon Omega Ruby and Alpha Sapphire, but was cancelled due to design problems.[46]"
331,Cacnea,
332,Cacturne,"It'll wait in deserts for travelers to faint, then it will strike."
333,Swablu,It likes to land on people's head like a fluffy hat.
334,Altaria,"Altaria is said to have a beautiful soprano singing voice, which can be heard when it is flying through the sky."
335,Zangoose,Has a lifelong feud with Seviper.
336,Seviper,"It will automatically fight Zangoose, its rival, until something stops them or one runs away."
337,Lunatone,A meteorite Pokémon in the shape of the moon.
338,Solrock,A meteorite Pokémon in the shape of the sun.
339,Barboach,Barboach are based on the pond loach.[42]
340,Whiscash,"The design of Whiscash was inspired by the mythological Namazu, a giant catfish said to cause earthquakes.[29]"
341,Corphish,
342,Crawdaunt,"Its name is derived of ""crawdad"" and ""daunt""."
343,Baltoy,It is based on the Dogū figurines from the Jōmon period.
344,Claydol,
345,Lileep,
346,Cradily,It will use its petals to grab and eat its prey.
347,Anorith,
348,Armaldo,
349,Feebas,Feebas are based on the largemouth bass.[42]
350,Milotic,"Said to be the most beautiful Pokémon in the world, many pieces of beautiful artworks contains it. Milotic are based on the oarfish.[42]"
351,Castform,"Capable of changing between its four forms depending on in-battle weather effects with its signature ability, Forecast."
,,"In rain, Forecast changes Castform to its ""Rainy Form"", which is Water type and resembles a raindrop."
,,"In hail, Forecast changes Castform to its ""Snowy Form"", which is Ice type and resembles a snowy cloud."
,,"In harsh sunlight, Forecast changes Castform to its ""Sunny Form"", which is Fire type and resembles the sun."
352,Kecleon,"Although it can turn invisible, the red stripe can always be seen."
353,Shuppet,
354,Banette,"Banette's fictional origin story states that it used to be a plush doll that was thrown away by a child and that its ""feelings of hatred were so strong that it came to life to seek revenge.""[35]"
355,Duskull,"The design of Duskull and its evolution are inspired by mummies and the Japanese ghost Chōchin-obake.[35] It can go through any wall, no matter how thick it may be, to chase people until sunrise, at which time the chase is abandoned."
356,Dusclops,It is said that anything that goes into its hollow body will never be seen again.
357,Tropius,It lives in tropical jungles. The bunch of fruit around its neck is delicious. The fruit grows twice a year.
358,Chimecho,
359,Absol,It can tell when horrible disasters are about to come because it can sense them with its fine hairs.
360,Wynaut,"Don't look at its always smiling face to tell if its mad, look at its tail. If it's mad, its will be slamming on the ground."
361,Snorunt,
362,Glalie,"Glalie is based on a hockey mask and the yokai, Tsurube-otoshi as well as Oni."
363,Spheal,"When its time to eat, they tend to clap in appreciation. Therefore, its dinnertimes are quite noisy."
364,Sealeo,"It likes to bounce things on its nose. Sometimes, it will even balance Spheals."
365,Walrein,
366,Clamperl,
367,Huntail,"Huntail are based on the onejaw.[42] When hunting, it lures prey in with its fish-like tail, then savagely rips them apart."
368,Gorebyss,"Although is quite pretty to some, it is very cruel. It will insert the very thin mouth it has into its prey and drink them dry. Gorebyss are based on the snipe eel.[42]"
369,Relicanth,"An ancient Pokémon that has been around for millions of years, Relicanths actually haven't changed. Relicanth are based on the coelecanth.[42]"
370,Luvdisc,"Various critics consider Luvdisc among the most ""useless"" and ""lazily designed"" Pokémon.[51][52][53][54] Luvdisc are based on the kissing gourami.[42] When two people are out dating on the beach, you can tell they really love each other if Luvdiscs appear."
371,Bagon,"It has many dreams about being able to fly, so it tries to in doomed efforts by throwing itself off of high cliffs. In return, its head becomes really hard, to bash its foes' skulls in."
372,Shelgon,"Waiting to evolve again, Shelgon usually moves quite fast. However, if its in cold places, its movements turn sluggish."
373,Salamence,"Now able to fly like it once had dreamed of doing as a Bagon, it flies very high, to see how high it can go."
374,Beldum,"Instead of blood coursing through its veins, it has grains of metal rushing through."
375,Metang,"When two Beldums fuse, the result is a Metang."
376,Metagross,Metagross is a result of four Beldums or two Metangs. It eats through its mouth on the bottom of its stomach.
377,Regirock,"If it's hurt, it will attach rocks to repair itself that scientists found out come from different parts of the world."
378,Regice,Regice is made of the coldest and thickest ice in the world. Magma and lava won't even partially melt it because it has the ability to cool down the air by 60 degrees.
